Fecha,SPEI,Zona
1901-01-16,1.0551213,Sevilla
1901-02-15,0.753951,Sevilla
1901-03-16,1.820505,Sevilla
1901-04-16,0.5804532,Sevilla
1901-05-16,0.31030166,Sevilla
1901-06-16,-0.7698055,Sevilla
1901-07-16,-0.1302933,Sevilla
1901-08-16,0.88474005,Sevilla
1901-09-16,1.7237018,Sevilla
1901-10-16,0.76218915,Sevilla
1901-11-16,1.0832875,Sevilla
1901-12-16,0.60974044,Sevilla
1902-01-16,-1.5326085,Sevilla
1902-02-15,1.469924,Sevilla
1902-03-16,0.03496491,Sevilla
1902-04-16,1.4956604,Sevilla
1902-05-16,0.5244416,Sevilla
1902-06-16,1.0098037,Sevilla
1902-07-16,1.8126242,Sevilla
1902-08-16,2.4669113,Sevilla
1902-09-16,0.6716816,Sevilla
1902-10-16,1.7080113,Sevilla
1902-11-16,1.2279073,Sevilla
1902-12-16,0.27102935,Sevilla
1903-01-16,0.10457524,Sevilla
1903-02-15,-1.3202496,Sevilla
1903-03-16,-0.4163658,Sevilla
1903-04-16,0.3149267,Sevilla
1903-05-16,1.4265771,Sevilla
1903-06-16,1.7093288,Sevilla
1903-07-16,1.5505867,Sevilla
1903-08-16,0.6972254,Sevilla
1903-09-16,1.2280419,Sevilla
1903-10-16,-0.12075425,Sevilla
1903-11-16,-0.69546676,Sevilla
1903-12-16,1.3326743,Sevilla
1904-01-16,0.52118874,Sevilla
1904-02-15,1.0900115,Sevilla
1904-03-16,1.1024029,Sevilla
1904-04-16,-0.24974045,Sevilla
1904-05-16,-0.527972,Sevilla
1904-06-16,1.1294901,Sevilla
1904-07-16,0.5662544,Sevilla
1904-08-16,1.0532509,Sevilla
1904-09-16,1.8088744,Sevilla
1904-10-16,-0.30741054,Sevilla
1904-11-16,0.46664095,Sevilla
1904-12-16,0.23711795,Sevilla
1905-01-16,-0.26206166,Sevilla
1905-02-15,-1.2304302,Sevilla
1905-03-16,-0.9724484,Sevilla
1905-04-16,-0.2808324,Sevilla
1905-05-16,0.9865913,Sevilla
1905-06-16,0.99390316,Sevilla
1905-07-16,1.5810758,Sevilla
1905-08-16,1.1024112,Sevilla
1905-09-16,0.46802714,Sevilla
